ID,Cohort,Program,College,major_2,concentration_1,hrs_enrolled,gender,state,ipeds_ethnicity,resid_commuter_sts,sport_1,sport_1_b,sport_2,sport_2_b,first_gen,hs_gpa,pell_eligible,ret_label,ret_label_b
0,87,44,2,0,0,15,1,14,6,2,25,0,5,0,0,3.33,0,3,1
2,87,24,2,0,0,16,1,14,6,2,25,0,5,0,0,4,1,0,0
4,79,50,2,0,0,18,1,8,6,2,15,1,4,1,0,3.99,0,3,1
7,87,44,2,0,0,15,1,8,2,2,25,0,5,0,0,3.79,0,0,0
8,87,39,1,0,0,15,0,8,1,2,25,0,5,0,0,2.93,1,0,0
11,79,8,3,0,0,15,0,17,6,2,8,1,5,0,1,3.95,0,3,1
14,79,57,3,0,0,15,0,8,6,2,5,1,5,0,1,3.93,1,0,0
15,79,59,0,0,0,15,0,8,3,2,5,1,5,0,1,3.62,0,0,0
16,79,57,3,0,0,16,0,8,6,2,25,0,5,0,0,3.03,1,0,0
17,87,24,2,0,0,16,1,8,1,2,25,0,5,0,1,3.43,1,3,1
20,79,36,1,0,0,15,0,14,2,2,25,0,5,0,1,3.81,1,3,1
23,79,37,1,0,0,15,0,14,6,2,5,1,5,0,1,3.65,0,3,1
28,79,57,3,0,0,18,1,11,6,2,19,1,5,0,0,3.24,0,3,1
30,79,16,3,0,1,16,1,11,6,2,25,0,5,0,0,3.81,0,3,1
31,79,37,1,0,0,15,0,11,6,2,7,1,5,0,0,3.43,0,3,1
32,79,49,2,0,1,16,0,11,6,2,9,1,5,0,0,3.95,0,3,1
37,87,59,0,0,0,15,0,11,2,2,5,1,5,0,0,2.97,1,0,0
38,87,33,2,0,0,16,1,11,6,2,25,0,5,0,0,3.93,0,3,1
39,87,52,1,0,0,12,1,11,0,2,25,0,5,0,1,3.68,0,3,1
40,87,7,3,0,0,15,0,11,6,2,2,1,5,0,1,3.55,0,3,1
41,87,8,3,0,0,15,0,11,4,2,8,1,5,0,0,3.35,0,0,0
48,87,5,1,0,0,14,1,14,6,2,21,1,5,0,0,4,0,3,1
51,79,31,2,0,0,16,0,14,6,2,5,1,2,1,0,3.62,0,3,1
54,79,0,3,0,0,15,0,14,6,2,5,1,2,1,0,3.65,1,3,1
55,79,57,3,0,0,15,0,14,2,2,5,1,5,0,1,2.5,1,3,1
56,79,13,3,0,0,15,0,14,6,2,5,1,5,0,1,2.81,0,3,1
57,79,44,2,0,1,15,1,14,6,2,15,1,4,1,1,3.76,0,3,1
58,79,8,3,0,0,15,0,14,6,2,5,1,2,1,1,3.48,0,1,0
59,79,29,1,0,0,15,0,14,6,2,5,1,5,0,0,2.65,0,3,1
60,79,57,3,0,0,15,0,14,1,2,5,1,5,0,1,2.28,1,0,0
67,87,13,3,0,0,15,0,14,2,2,2,1,5,0,0,3.32,0,3,1
68,87,44,2,0,0,15,0,14,6,2,12,1,5,0,0,3.74,0,3,1
69,87,8,3,0,0,15,1,14,6,2,0,1,5,0,0,3.15,0,3,1
70,87,57,3,0,0,15,0,14,6,2,7,1,5,0,0,3.73,0,3,1
71,87,52,1,0,0,15,1,14,6,2,25,0,5,0,0,2.7,1,0,0
72,87,59,0,0,0,15,0,14,6,2,5,1,5,0,1,3.8,0,3,1
73,87,31,2,0,0,16,1,14,6,2,18,1,5,0,1,3,0,3,1
74,87,29,1,0,0,15,0,14,6,2,5,1,5,0,0,3.16,0,3,1
97,79,46,1,0,0,17,1,14,6,2,25,0,5,0,0,3.65,0,3,1
100,79,50,2,0,1,16,1,14,6,2,25,0,5,0,1,3.93,1,3,1
101,79,21,1,0,1,15,1,14,6,2,25,0,5,0,1,3.95,0,3,1
102,79,33,2,0,0,16,1,14,6,2,25,0,5,0,0,3.89,1,3,1
103,79,50,2,0,1,17,1,14,6,2,25,0,5,0,1,3.98,0,3,1
104,79,16,3,0,0,16,0,14,6,2,25,0,5,0,1,3.63,1,3,1
105,79,17,3,0,0,15,0,14,4,2,11,1,5,0,1,2.85,1,3,1
112,87,54,1,0,0,14,1,14,6,2,21,1,5,0,1,3.5,0,0,0
113,87,44,2,0,0,12,1,14,6,2,25,0,5,0,0,3.88,0,3,1
114,87,46,1,0,0,16,1,14,6,2,25,0,5,0,0,3.88,0,3,1
115,87,54,1,0,0,15,1,14,6,2,21,1,5,0,0,3.88,0,3,1
116,87,44,2,0,0,15,1,14,6,2,17,1,5,0,1,3.75,0,3,1
117,87,50,2,0,0,15,1,14,6,2,25,0,5,0,0,3.88,0,3,1
118,87,49,2,0,0,17,1,14,6,2,21,1,5,0,0,3.95,0,3,1
119,87,44,2,0,0,15,1,14,6,2,23,1,5,0,0,3.88,0,3,1
137,79,5,1,0,0,15,1,16,3,2,22,1,5,0,0,4,0,3,1
140,79,24,2,0,1,17,1,12,6,2,25,0,5,0,0,3.76,0,3,1
141,79,50,2,0,1,12,1,12,6,2,21,1,5,0,1,3.91,0,3,1
142,79,57,3,0,0,15,0,12,1,2,4,1,2,1,1,3,1,1,0
146,87,8,3,0,0,15,0,12,6,2,7,1,5,0,0,3.15,0,0,0
153,79,5,1,0,0,17,0,14,6,2,25,0,5,0,0,3.23,0,3,1
156,79,37,1,0,0,15,0,14,6,2,12,1,5,0,0,3.8,1,3,1
